"trust_promise","male","age","edu","unemployed","rural","political_know","cntry","country_year","year"
2,1,42,18,-11,1,3,"AR","AR-2006",2006
1,2,44,15,-11,1,3,"AR","AR-2006",2006
3,2,36,7,-11,1,2,"AR","AR-2006",2006
1,1,34,15,-11,1,4,"AR","AR-2006",2006
2,2,28,18,-11,1,2,"AR","AR-2006",2006
1,1,61,12,-11,1,5,"AR","AR-2006",2006
2,2,49,14,-11,1,5,"AR","AR-2006",2006
1,2,34,18,-11,1,5,"AR","AR-2006",2006
1,1,22,12,1,1,4,"AR","AR-2006",2006
2,2,53,15,1,1,3,"AR","AR-2006",2006
1,1,62,18,-11,1,4,"AR","AR-2006",2006
1,2,45,18,-11,1,4,"AR","AR-2006",2006
2,1,60,12,-11,1,4,"AR","AR-2006",2006
1,2,30,15,1,1,4,"AR","AR-2006",2006
1,2,50,18,-11,1,4,"AR","AR-2006",2006
2,1,63,18,-11,1,4,"AR","AR-2006",2006
4,1,46,18,-11,1,4,"AR","AR-2006",2006
1,2,52,13,-11,1,4,"AR","AR-2006",2006
2,1,29,18,-11,1,4,"AR","AR-2006",2006
2,2,27,18,-11,1,3,"AR","AR-2006",2006
1,1,38,12,-11,1,3,"AR","AR-2006",2006
1,2,62,12,1,1,2,"AR","AR-2006",2006
1,1,64,15,-11,1,3,"AR","AR-2006",2006
2,2,31,15,-11,1,4,"AR","AR-2006",2006
99,1,26,15,-11,1,2,"AR","AR-2006",2006
1,1,48,12,-11,1,4,"AR","AR-2006",2006
1,1,62,18,-11,1,2,"AR","AR-2006",2006
1,1,23,13,-11,1,4,"AR","AR-2006",2006
1,2,35,18,-11,1,2,"AR","AR-2006",2006
2,2,31,12,1,1,4,"AR","AR-2006",2006
2,1,76,18,-11,1,4,"AR","AR-2006",2006
3,1,56,10,-11,1,4,"AR","AR-2006",2006
2,2,44,11,-11,1,4,"AR","AR-2006",2006
2,2,64,10,1,1,3,"AR","AR-2006",2006
1,1,46,12,-11,1,4,"AR","AR-2006",2006
1,2,58,12,1,1,4,"AR","AR-2006",2006
1,1,64,8,-11,1,4,"AR","AR-2006",2006
1,1,65,15,1,1,4,"AR","AR-2006",2006
2,1,49,12,-11,1,4,"AR","AR-2006",2006
1,2,53,18,-11,1,3,"AR","AR-2006",2006
2,1,40,12,-11,1,3,"AR","AR-2006",2006
2,2,85,7,1,1,4,"AR","AR-2006",2006
1,1,39,9,-11,1,4,"AR","AR-2006",2006
1,1,33,12,-11,1,3,"AR","AR-2006",2006
1,1,59,15,-11,1,4,"AR","AR-2006",2006
2,2,35,18,-11,1,4,"AR","AR-2006",2006
1,2,64,12,1,1,5,"AR","AR-2006",2006
1,1,43,8,1,1,4,"AR","AR-2006",2006
2,1,38,8,-11,1,4,"AR","AR-2006",2006
2,2,62,6,1,1,4,"AR","AR-2006",2006
1,1,46,10,-11,1,3,"AR","AR-2006",2006
1,1,32,15,-11,1,4,"AR","AR-2006",2006
1,2,69,7,-11,1,4,"AR","AR-2006",2006
1,1,63,9,-11,1,5,"AR","AR-2006",2006
1,1,56,15,-11,1,3,"AR","AR-2006",2006
1,2,48,18,-11,1,3,"AR","AR-2006",2006
1,1,58,14,-11,1,5,"AR","AR-2006",2006
2,1,41,18,-11,1,3,"AR","AR-2006",2006
1,1,35,18,-11,1,1,"AR","AR-2006",2006
2,1,30,13,-11,1,3,"AR","AR-2006",2006
4,2,33,8,-11,1,1,"AR","AR-2006",2006
1,1,56,18,-11,1,5,"AR","AR-2006",2006
2,2,34,18,-11,1,4,"AR","AR-2006",2006
2,2,50,15,-11,1,4,"AR","AR-2006",2006
2,2,28,14,-11,1,1,"AR","AR-2006",2006
2,1,64,13,-11,1,4,"AR","AR-2006",2006
2,2,85,3,1,1,4,"AR","AR-2006",2006
2,2,40,12,1,1,2,"AR","AR-2006",2006
2,1,48,12,-11,1,3,"AR","AR-2006",2006
1,2,40,3,-11,1,1,"AR","AR-2006",2006
2,2,58,9,-11,1,3,"AR","AR-2006",2006
1,1,42,15,-11,1,4,"AR","AR-2006",2006
2,2,48,9,-11,1,2,"AR","AR-2006",2006
3,1,37,18,-11,1,2,"AR","AR-2006",2006
1,2,49,18,-11,1,5,"AR","AR-2006",2006
2,1,35,12,-11,1,4,"AR","AR-2006",2006
1,1,29,17,-11,1,5,"AR","AR-2006",2006
1,2,67,18,-11,1,5,"AR","AR-2006",2006
2,2,38,18,-11,1,2,"AR","AR-2006",2006
1,2,73,14,-11,1,4,"AR","AR-2006",2006
2,2,52,18,-11,1,2,"AR","AR-2006",2006
1,1,25,13,-11,1,4,"AR","AR-2006",2006
2,2,60,7,1,1,2,"AR","AR-2006",2006
2,2,53,12,-11,1,4,"AR","AR-2006",2006
2,1,37,12,-11,1,2,"AR","AR-2006",2006
1,2,37,18,-11,1,5,"AR","AR-2006",2006
3,1,64,18,-11,1,4,"AR","AR-2006",2006
1,2,47,18,-11,1,2,"AR","AR-2006",2006
4,2,18,11,1,1,4,"AR","AR-2006",2006
4,2,37,12,1,1,3,"AR","AR-2006",2006
2,2,39,7,1,1,3,"AR","AR-2006",2006
2,2,73,12,-11,1,4,"AR","AR-2006",2006
2,2,31,12,-11,1,3,"AR","AR-2006",2006
2,2,51,12,-11,1,2,"AR","AR-2006",2006
1,2,52,18,-11,1,2,"AR","AR-2006",2006
1,1,26,9,1,1,3,"AR","AR-2006",2006
2,1,46,12,-11,1,3,"AR","AR-2006",2006
5,2,38,10,1,1,4,"AR","AR-2006",2006
2,1,47,15,-11,1,4,"AR","AR-2006",2006
2,2,51,10,1,1,4,"AR","AR-2006",2006
4,2,33,18,-11,1,3,"AR","AR-2006",2006
2,1,29,9,1,1,4,"AR","AR-2006",2006
2,1,68,13,-11,1,3,"AR","AR-2006",2006
2,2,37,12,1,1,4,"AR","AR-2006",2006
2,2,37,12,-11,1,4,"AR","AR-2006",2006
2,1,25,10,-11,1,4,"AR","AR-2006",2006
1,1,45,10,-11,1,4,"AR","AR-2006",2006
2,2,52,12,1,1,4,"AR","AR-2006",2006
1,2,57,7,-11,1,3,"AR","AR-2006",2006
1,2,47,10,-11,1,4,"AR","AR-2006",2006
1,2,28,12,-11,1,4,"AR","AR-2006",2006
