"edu","female","inc_jp"
9,1,500
16,0,3500
12,1,0
12,1,1500
12,0,3500
12,1,500
15,0,500
11,1,0
12,0,11000
15,1,500
14,0,6500
12,1,1500
15,0,2500
12,0,0
9,0,4500
12,1,500
11,0,500
12,1,1500
12,1,500
12,0,500
14,1,0
9,1,500
12,1,500
12,0,2500
13,0,2500
12,0,3500
16,1,1500
9,0,1500
9,0,1500
16,1,1500
12,1,1500
9,1,1500
12,1,1500
12,0,4500
9,0,2500
11,1,0
12,0,4500
12,1,500
9,1,500
12,1,0
16,0,7500
12,0,4500
9,1,500
16,0,7500
9,0,5500
12,1,0
16,0,500
12,1,1500
15,0,2500
12,0,4500
16,0,2500
12,0,2500
12,1,500
9,0,2500
12,0,2500
12,0,2500
16,0,5500
12,0,2500
12,0,6500
12,0,4500
16,1,2500
12,1,500
12,1,2500
12,1,0
12,1,0
16,0,0
9,0,4500
12,0,6500
12,0,2500
16,1,6500
14,1,0
18,1,0
12,0,0
16,1,0
18,1,4500
12,0,5500
16,1,4500
16,0,11000
12,1,2500
14,1,500
9,0,2500
12,1,1500
16,0,4500
12,0,2500
19,0,2500
17,0,2500
9,1,500
12,0,1500
10,0,500
16,0,2500
14,1,1500
9,1,0
12,0,0
14,1,1500
11,0,0
9,0,3500
16,0,6500
12,1,1500
12,0,2500
12,0,0
12,1,500
12,0,3500
12,0,4500
12,1,2500
9,1,2500
12,0,1500
9,1,1500
9,0,20000
12,0,1500
12,0,2500
9,0,500
12,0,2500
12,0,2500
12,1,1500
12,0,7500
9,1,0
14,1,2500
12,1,6500
14,0,500
12,1,500
12,0,1500
16,0,4500
9,0,2500
12,1,3500
9,1,2500
12,1,2500
16,0,5500
15,0,6500
14,1,1500
12,0,1500
12,0,11000
12,0,9500
9,0,3500
12,1,1500
12,1,500
12,0,2500
16,0,5500
12,1,0
16,0,3500
14,1,3500
12,0,4500
16,0,7500
16,1,3500
16,1,4500
14,1,4500
12,1,500
9,0,1500
12,1,500
9,0,500
9,0,3500
12,1,500
12,1,1500
9,0,500
12,1,0
9,0,2500
12,1,2500
9,1,500
12,0,1500
12,1,500
12,0,3500
12,1,1500
14,1,500
9,0,500
12,1,500
12,0,3500
8,0,2500
14,1,1500
14,1,500
12,0,20000
18,0,8500
13,1,500
12,0,1500
16,0,500
12,0,5500
12,1,500
18,0,6500
16,0,7500
12,0,2500
12,0,2500
12,1,1500
12,0,2500
12,1,2500
12,0,3500
8,1,500
12,0,2500
16,1,4500
9,1,0
8,1,500
16,0,2500
9,1,1500
12,1,2500
12,1,1500
12,1,0
12,1,1500
10,0,0
10,0,3500
11,1,2500
12,1,500
12,0,500
12,1,500
12,1,500
12,1,500
16,0,5500
12,1,500
12,0,2500
14,1,2500
9,0,3500
15,1,1500
12,0,4500
9,1,500
16,0,3500
15,0,1500
12,1,500
9,1,500
12,0,0
9,1,500
14,1,0
16,0,5500
14,1,1500
12,0,1500
9,0,3500
12,0,0
14,1,500
12,0,8500
17,0,6500
16,1,2500
9,0,2500
9,0,2500
12,1,1500
12,1,500
9,0,3500
12,0,2500
12,0,3500
12,1,2500
14,0,0
16,1,500
12,0,3500
14,1,3500
14,0,0
20,0,1500
9,0,0
16,0,20000
16,0,13500
16,0,8500
16,1,5500
12,0,5500
16,1,6500
14,1,2500
15,1,6500
9,1,0
14,1,3500
16,0,8500
14,1,0
16,1,1500
12,0,3500
17,0,2500
12,1,1500
12,0,1500
12,1,1500
9,0,2500
12,1,3500
16,0,7500
9,1,2500
12,1,1500
12,0,2500
14,1,2500
14,0,7500
16,0,6500
16,0,1500
12,1,3500
14,0,2500
9,1,500
12,0,3500
12,0,2500
14,1,500
12,1,2500
14,0,5500
14,1,500
16,0,5500
14,1,0
12,1,1500
15,0,1500
16,1,20000
15,0,500
18,0,2500
13,0,500
12,0,4500
12,0,1500
16,1,2500
9,1,0
16,1,1500
9,0,1500
9,1,1500
9,1,500
12,0,5500
16,0,4500
12,1,1500
10,0,4500
14,1,1500
14,0,500
8,0,3500
16,1,5500
9,1,3500
12,0,6500
14,1,500
12,1,4500
12,1,2500
9,1,1500
14,1,500
12,0,3500
14,1,3500
18,0,7500
16,0,20000
16,0,3500
16,0,6500
12,0,2500
14,1,500
16,0,7500
9,1,2500
12,1,1500
9,0,2500
12,0,0
9,0,1500
9,1,500
12,1,0
14,0,7500
12,1,1500
14,1,2500
12,0,4500
12,0,500
12,0,2500
12,1,500
20,0,11000
16,0,6500
12,0,11000
14,1,8500
16,0,8500
16,1,2500
12,1,0
19,1,0
19,0,2500
12,1,500
9,1,500
12,1,1500
14,1,2500
12,1,1500
12,0,0
12,0,2500
12,0,3500
12,1,500
16,0,6500
12,1,500
12,1,500
18,0,8500
12,1,1500
15,1,500
14,0,6500
17,0,2500
10,0,3500
12,1,500
17,1,1500
12,0,5500
12,0,4500
9,0,1500
9,0,5500
12,0,8500
14,0,3500
12,0,0
8,0,500
12,0,4500
8,0,1500
12,1,1500
12,1,0
12,0,2500
12,0,1500
11,1,500
14,1,6500
12,1,8500
16,0,7500
11,0,2500
18,0,7500
8,1,2500
12,0,11000
12,0,4500
12,0,4500
9,0,2500
12,0,500
9,0,4500
11,1,1500
9,1,1500
12,1,0
16,0,8500
12,1,2500
14,1,0
16,1,0
17,0,5500
18,0,11000
12,0,3500
16,1,0
12,0,1500
13,1,500
16,0,6500
18,0,9500
17,0,500
12,1,1500
16,0,2500
